[05/11/2022 14:50] ERROR: 2013 / Query: INSERT INTO `flat_queue` (`Username`, `FlatID`) VALUES('Hiriko_Tatsuya','19') - Callback: 
[05/11/2022 19:45] ERROR: 1054 / Query: INSERT INTO `crime_record` (`PlayerID`, `Issuer`, `Description`, `Status`, `Date`) VALUES('61','Victor Mendez','Only test the feature tho.','1','05/11/2022') - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '0', `Type` = '1', `ExtPosX` = '-1779.239990', `ExtPosY` = '1083.739990', `ExtPosZ` = '-32.298801', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '74', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '1', `TaxDate` = '1667655805', `FurnitureLevel` = '0' WHERE `ID` = '39' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '1', `Type` = '1', `ExtPosX` = '-1776.069946', `ExtPosY` = '1089.109985', `ExtPosZ` = '-32.298801', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '76', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '1', `TaxDate` = '1667655805', `FurnitureLevel` = '0' WHERE `ID` = '40' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '1', `Type` = '1', `ExtPosX` = '-1772.719971', `ExtPosY` = '1083.770020', `ExtPosZ` = '-32.298801', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '78', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '1', `TaxDate` = '1667655805', `FurnitureLevel` = '0' WHERE `ID` = '41' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '0', `Type` = '1', `ExtPosX` = '-1766.369995', `ExtPosY` = '1083.729980', `ExtPosZ` = '-32.298801', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '82', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '0', `TaxDate` = '1667281011', `FurnitureLevel` = '0' WHERE `ID` = '43' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '1', `Type` = '1', `ExtPosX` = '-1763.339966', `ExtPosY` = '1089.099976', `ExtPosZ` = '-32.298801', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '23', `Ammo1` = '141', `Durability1` = '500', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '84', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '1', `TaxDate` = '1667655805', `FurnitureLevel` = '0' WHERE `ID` = '44' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '1', `Type` = '1', `ExtPosX` = '-1750.579956', `ExtPosY` = '1083.760010', `ExtPosZ` = '-32.298801', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '88', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '1', `TaxDate` = '1667655805', `FurnitureLevel` = '0' WHERE `ID` = '46' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '0', `Type` = '1', `ExtPosX` = '-1747.280029', `ExtPosY` = '1089.079956', `ExtPosZ` = '-32.298801', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '90', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '1', `TaxDate` = '1667655805', `FurnitureLevel` = '0' WHERE `ID` = '47' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '0', `Type` = '1', `ExtPosX` = '-1753.640015', `ExtPosY` = '1083.569946', `ExtPosZ` = '-25.378700', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '114', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '0', `TaxDate` = '1668000621', `FurnitureLevel` = '0' WHERE `ID` = '59' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '1500000', `Money` = '0', `Locked` = '1', `Type` = '1', `ExtPosX` = '-1750.489990', `ExtPosY` = '1089.109985', `ExtPosZ` = '-25.378700', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '25', `Ammo1` = '12', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '23', `Ammo2` = '68', `Durability2` = '500', `HighVelocity2` = '0', `Weapon3` = '25', `Ammo3` = '12', `Durability3` = '500', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '116', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '0', `TaxDate` = '1667735909', `FurnitureLevel` = '0' WHERE `ID` = '60' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '500000', `Money` = '0', `Locked` = '0', `Type` = '1', `ExtPosX` = '-1747.380005', `ExtPosY` = '1083.599976', `ExtPosZ` = '-25.378700', `IntPosX` = '-147.589005', `IntPosY` = '2826.360107', `IntPosZ` = '89.297699', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '118', `IntInterior` = '1', `ExtWorld` = '0', `ExtInterior` = '10', `LastLogin` = '1669056066', `TaxState` = '0', `TaxPaid` = '1', `TaxDate` = '1667428910', `FurnitureLevel` = '0' WHERE `ID` = '61' LIMIT 1; - Callback: 
[12/11/2022 01:41] ERROR: 1054 / Query: UPDATE `flat` SET `Owner` = '-1', `OwnerName` = 'No Owner', `Price` = '350000', `Money` = '0', `Locked` = '1', `Type` = '0', `ExtPosX` = '-1242.910034', `ExtPosY` = '-188.893997', `ExtPosZ` = '4014.649902', `IntPosX` = '2358.219971', `IntPosY` = '968.234009', `IntPosZ` = '20.943399', `Weapon1` = '0', `Ammo1` = '0', `Durability1` = '0', `HighVelocity1` = '0', `Weapon2` = '0', `Ammo2` = '0', `Durability2` = '0', `HighVelocity2` = '0', `Weapon3` = '0', `Ammo3` = '0', `Durability3` = '0', `HighVelocity3` = '0', `Weapon4` = '0', `Ammo4` = '0', `Durability4` = '0', `HighVelocity4` = '0', `Weapon5` = '0', `Ammo5` = '0', `Durability5` = '0', `HighVelocity5` = '0', `IntWorld` = '387', `IntInterior` = '1', `ExtWorld` = '200', `ExtInterior` = '25', `LastLogin` = '1669056066', `TaxState` = '1', `TaxPaid` = '1', `TaxDate` = '1667655805', `FurnitureLevel` = '0' WHERE `ID` = '132' LIMIT 1; - Callback: 
